name,d1,d2,d3,d4
e3,-1,0,-1,4
f3,-1,-1,4,0
g3,0,0,5,0
h3,0,0,5,-1
i3,-1,-1,0,4
j3,0,0,0,5
k3,0,0,-1,5
l3,0,-1,5,0
m3,0,-1,5,-1
n3,0,-1,0,5
o3,0,-1,-1,5
p3,-1,5,0,0
q3,-1,5,0,-1
r3,-1,5,-1,0
s3,0,6,0,0
t3,0,6,0,-1
u3,0,6,-1,0
v3,0,6,-1,-1
w3,-1,0,5,0
x3,-1,0,5,-1
y3,-1,0,0,5
z3,-1,0,-1,5
A3,-1,-1,5,0
B3,0,0,6,0
C3,0,0,6,-1
D3,-1,-1,0,5
E3,0,0,0,6
F3,0,0,-1,6
G3,0,-1,6,0
H3,0,-1,6,-1
I3,0,-1,0,6
J3,0,-1,-1,6
K3,-1,6,0,0
L3,-1,6,0,-1
M3,-1,6,-1,0
N3,0,7,0,0
O3,0,7,0,-1
P3,0,7,-1,0
Q3,0,7,-1,-1
R3,-1,0,6,0
S3,-1,0,6,-1
T3,-1,0,0,6
U3,-1,0,-1,6
V3,-1,-1,6,0
W3,0,0,7,0
X3,0,0,7,-1
Y3,-1,-1,0,6
Z3,0,0,0,7
a4,0,0,-1,7
b4,0,-1,7,0
c4,0,-1,7,-1
d4,0,-1,0,7
e4,0,-1,-1,7
f4,-1,7,0,0
g4,-1,7,0,-1
h4,-1,7,-1,0
i4,0,8,0,0
j4,0,8,0,-1
k4,0,8,-1,0
l4,0,8,-1,-1
m4,-1,0,7,0
n4,-1,0,7,-1
o4,-1,0,0,7
p4,-1,0,-1,7
q4,-1,-1,7,0
r4,0,0,8,0
s4,0,0,8,-1
t4,-1,-1,0,7
u4,0,0,0,8
v4,0,0,-1,8
w4,0,-1,8,0
x4,0,-1,8,-1
y4,0,-1,0,8
z4,0,-1,-1,8
A4,-1,8,0,0
B4,-1,8,0,-1
C4,-1,8,-1,0
D4,0,9,0,0
E4,0,9,0,-1
F4,0,9,-1,0
G4,0,9,-1,-1
H4,-1,0,8,0
I4,-1,0,8,-1
J4,-1,0,0,8
K4,-1,0,-1,8
L4,-1,-1,8,0
M4,0,0,9,0
N4,0,0,9,-1
O4,-1,-1,0,8
P4,0,0,0,9
Q4,0,0,-1,9
R4,0,-1,9,0
S4,0,-1,9,-1
T4,0,-1,0,9
U4,0,-1,-1,9
V4,-1,9,0,0
W4,-1,9,0,-1
X4,-1,9,-1,0
Y4,0,10,0,0
Z4,-1,0,9,0
a5,-1,0,9,-1
b5,-1,0,0,9
c5,-1,0,-1,9
d5,-1,-1,9,0
e5,0,0,10,0
f5,-1,-1,0,9
g5,0,0,0,10
